"no","id","context","sentence","intentionality","factivity","pictoriality","sense"
88,"KRM","S_brdcast_news","  Water, which Mr Dick is carrying out. That one will be completed I imagine within the next couple of weeks. The other one is in fact initiated by",-2.31150375614945,1.24851478410836,-1.1621154989102,"2-THINK/BELIVE"
89,"CHE","W_biography","  rock jutting out into the sea and with commanding views. It was easy to imagine that it might have been Camelot, like in the picture story-books I'd read",0.561530986543836,-1.3942070918537,0.88991767488,"1-VIZUALIZE/PICTURE"
90,"FEE","W_fict_prose","  came and said so far as she knew you were in hospital. You can imagine how that brightened my day. I croaked out, which hospital, but she",0.356314219208602,1.65508738041021,-0.78901855822107,"2-THINK/BELIVE"
91,"K74","S_speech_unscripted","  can just afford it, can we? Er, okay then Martin, I imagine as long as we keep our heads above water, then that'll be okay",-2.10628698881421,0.638655889655574,-1.1621154989102,"3-SUPPOSE/ASSUME"
92,"A95","W_newsp_brdsht_nat_report","  there are more people who can, perhaps for the first time since 1967, imagine that the Jews could go west, back into the green line, or into",0.561530986543836,-1.3942070918537,-0.415921617531943,"2-THINK/BELIVE"
93,"GV7","W_fict_prose","  people believe that there is a' Jekyll' and a' Hyde'in everybody. Imagine that there are two very different sides to your own character, and write a",0.971964521214306,-0.581061899249992,0.33027226384631,"1-VIZUALIZE/PICTURE"
94,"HHM","W_misc","  question of how they got to Machynlleth in the first place. I can only imagine that shortly before the excursions a long double headed steam train must have travelled from",0.151097451873367,1.24851478410836,0.236998028674028,"3-SUPPOSE/ASSUME"
95,"FXT","S_brdcast_discussn","  I think I'm gon na treat you to lovely apricot cheesecake. Can you imagine the lovely er biscuit base, the cheesecake, and the apricots and cream all",0.766747753879071,1.65508738041021,1.82266002660282,"1-VIZUALIZE/PICTURE"
96,"H8X","W_fict_prose","  It isn't suitable. There's no question of it.'' I imagine,' Alexandra said with difficulty, her swimming eyes still fixed on her plate",-0.259336082797102,0.0287969952027908,1.63611155625825,"2-THINK/BELIVE"
97,"CL2","W_biography","  ' thing' that was himself stand up to as many trials as he could imagine. It was like the course of trials which underline so many of the great",0.561530986543836,-0.987634495551847,-0.602470087876506,"1-VIZUALIZE/PICTURE"
98,"HDT","S_speech_scripted","  also trying to move our football club er rather a difficult exercise, you can imagine. (SP:HDTPSUNK) (clapping) (SP:PS2FU) Anyone from Leicester here? Where are the Midlands? (pause)",0.151097451873367,1.45180108225928,-0.882292793393351,"2-THINK/BELIVE"
99,"FA8","W_commerce","  achieve the synergy necessary for certain processes to occur. As it is easy to imagine, these changes produced a whole new set of issues. It became necessary to",0.356314219208602,1.85837367856114,-1.1621154989102,"3-SUPPOSE/ASSUME"
100,"G39","W_biography","  Great-Uncle Isaac, who had a farm called Dummah Hill at North Stainmore. I imagine the family considered that my father would be better off living with him because of",-1.90107022147898,0.638655889655574,-1.1621154989102,"2-THINK/BELIVE"
